account,ticker,exchange,shares,avg_cost_local,cost_basis_local,currency,market_value_local,thesis_short,date_opened
broker,INVE.B,STO,90,370.27,33324,SEK,34052.50,,
broker,MU,NASDAQ,2,975.50,1951.00,USD,2108.10,,
broker,SRL,ASX,60,8.89,533.40,AUD,1069.20,,
broker,PKO,WSE,36,98.52,3546.60,PLN,3837.60,,
broker,APH,NYSE,10,145.10,1451.00,USD,1611.00,,
broker,C,NYSE,32,129.03,4129.00,USD,4585.60,,
broker,FINV,NASDAQ,750,6.05,4539.51,USD,3637.50,,
broker,9247,TSE,200,1425.14,285028,JPY,379600.00,,
broker,UBER,NYSE,66,74.58,4922.00,USD,4828.04,,
broker,ACN,NYSE,25,190.54,4763.50,USD,4137.50,,
broker,PLTR,NASDAQ,10,145.73,1457.30,USD,1319.80,,
broker,WBD,NASDAQ,170,28.89,4912.05,USD,4513.50,,
broker,RYA,EURONEXT,125,23.83,2978.24,EUR,3217.50,,
broker,RIO,LSE,20,64.98,1299.65,GBp,1537.20,,
broker,KB,NYSE,24,102.04,2449.00,USD,2642.40,,
broker,9618,HKEX,290,137.31,39820,HKD,32219.00,,
etoro,SPX500,CFD,1.74663,6671.09,11652.74,USD,13141.26,Long S&P 500 index exposure,
etoro,GOLD,CFD,1.720946,4733.71,8147.06,USD,7458.27,Long gold,
etoro,IWM,ETF,22.38621,260.25,5825.71,USD,6536.67,Russell 2000 small-cap,
etoro,VEA,ETF,84.37373,68.5122,5780.55,USD,6101.78,Developed-mkt ex-US,
etoro,IEF,ETF,64.30563,95.21239,6122.40,USD,6078.04,7-10Y Treasury,
etoro,SPHD,ETF,229.92691,49.3982,11358.31,USD,11743.27,High-div low-vol S&P,
etoro,SHY,ETF,68.36983,82.20,5620.00,USD,5615.99,1-3Y Treasury (cash-like),
etoro,GDX,ETF,35.48656,98.93689,3511.45,USD,3095.84,Gold miners,
etoro,SILVER,CFD,31.138729,74.74,2326.81,USD,2179.71,Long silver,
